,driver_id,day_of_week,total_days,Hour,Minute,passenger_id,total_requests,total_assigned,avg_rating,completed_rides,ACR,status,ride_duration_hour,total_distance_covered_km,avg_fare,abandoned_trips,% completed_rides,canceled_rides
143,5141340,7,7,20,45,4934326,89,106,4.578947368,71,0.669811321,1,17.66055556,331.478,105.76056340000001,17,79.7752808988764,18
144,5138154,5,7,20,22,5265636,139,308,4.615384615,101,0.327922078,1,26.55944444,532.316,113.47524750000001,169,72.66187050359713,38
145,5122519,1,7,19,6,4589066,79,211,4.333333333,9,0.042654028,1,3.566111111,54.1,123.44444440000001,132,11.39240506329114,70
146,5116282,3,7,9,15,5019147,107,291,4.137931034,55,0.18900343600000002,1,11.01722222,200.47400000000002,88.65454545,184,51.4018691588785,52
147,5115303,3,7,8,57,3704722,94,271,4.352941176,63,0.232472325,1,14.04194444,262.882,98.63492063,177,67.02127659574468,31
148,5106509,2,7,18,14,4038756,89,192,4.242424242,69,0.359375,1,17.7725,251.67700000000002,87.68115942,103,77.52808988764045,20
149,5106446,4,7,22,38,4329103,84,166,4.0,60,0.36144578299999996,1,13.2325,266.81,102.7666667,82,71.42857142857143,24
150,5092814,5,7,19,28,4540481,57,268,4.318181818,35,0.130597015,1,7.676944444,108.801,81.11428571,211,61.40350877192983,22
151,5083506,2,7,6,22,5170652,43,224,4.875,19,0.084821429,1,4.289722222,92.46799999999999,110.0,181,44.18604651162791,24
152,5083156,2,7,11,36,4673622,67,265,3.933333333,36,0.135849057,1,7.500277777999999,128.247,88.5,198,53.73134328358209,31
153,5082585,1,7,15,51,3528698,85,154,4.533333333,52,0.33766233799999995,1,15.18138889,246.873,105.1923077,69,61.1764705882353,33
154,5080101,2,7,22,37,4861095,40,213,4.5,20,0.093896714,1,5.813888888999999,122.51899999999999,128.0,173,50.0,20
155,5076437,7,7,18,22,4692966,30,86,4.3636363639999995,21,0.244186047,1,5.2775,95.01700000000001,100.4761905,56,70.0,9
156,5074922,4,7,9,13,4424034,73,143,3.722222222,42,0.293706294,1,11.175,183.299,98.95238095,70,57.534246575342465,31
157,5074296,6,7,14,37,3645289,96,165,4.266666667,61,0.36969697,1,16.605,232.33599999999998,89.91803279,69,63.541666666666664,35
158,5071387,6,7,6,50,3837935,89,417,4.176470588,69,0.165467626,1,14.98305556,252.551,88.07246377,328,77.52808988764045,20
159,5068200,7,7,19,49,4547630,70,201,4.2352941180000006,31,0.154228856,1,6.083333333,101.985,85.87096774,131,44.285714285714285,39
160,5067585,2,7,17,43,3601053,128,213,4.333333333,88,0.41314554,1,21.5875,426.57099999999997,108.6363636,85,68.75,40
161,5066010,3,7,10,45,5390372,139,171,4.3389830510000005,112,0.65497076,1,33.71416667,546.2819999999999,107.7857143,32,80.57553956834532,27
162,5058733,6,7,7,46,3933369,72,183,4.34375,55,0.300546448,1,11.13416667,235.55700000000002,96.69090909,111,76.38888888888889,17
163,5053389,5,7,16,16,3709890,132,148,4.125,107,0.722972973,1,28.59833333,534.626,120.42056070000001,16,81.06060606060606,25
164,5053111,3,7,11,6,5366565,86,181,3.633333333,53,0.29281768,1,21.60222222,327.145,127.56603770000001,95,61.627906976744185,33
165,5052985,1,7,7,39,3908966,77,138,4.535714286,45,0.326086957,1,14.67888889,223.295,108.0,61,58.44155844155844,32
166,5052981,2,7,11,18,3764320,118,193,4.2380952380000005,97,0.502590674,1,25.5225,448.255,103.185567,75,82.20338983050848,21
167,5051181,6,7,0,24,5428208,86,155,4.34375,66,0.42580645200000006,1,14.99472222,360.99199999999996,159.5454545,69,76.74418604651163,20
168,5049683,6,7,19,32,3906008,57,134,4.24137931,49,0.365671642,1,11.49111111,274.959,124.81632649999999,77,85.96491228070175,8
169,5036894,3,7,20,7,4701953,35,69,3.75,29,0.420289855,1,5.789166667000001,124.51299999999999,97.68965517,34,82.85714285714286,6
170,5033182,1,7,19,46,4391568,45,108,4.6363636360000005,26,0.240740741,1,5.2586111110000004,132.13,122.07692309999999,63,57.77777777777777,19
171,5032504,7,7,16,21,3661085,80,166,3.6956521739999997,43,0.259036145,1,0.028055556000000002,189.243,101.53488370000001,86,53.75,37
172,5020759,4,7,21,11,4460810,50,78,4.777777778,41,0.5256410260000001,1,8.192777778,187.86,113.12195120000001,28,82.0,9
173,5019177,2,7,6,15,4193790,52,217,4.625,27,0.12442396300000001,1,6.8266666670000005,141.635,111.85185190000001,165,51.92307692307693,25
174,5017599,6,7,8,50,4933178,149,188,4.26,110,0.585106383,1,26.04944444,470.434,100.4,39,73.8255033557047,39
175,5017499,3,7,7,23,4828571,56,203,4.538461538,43,0.21182266,1,20.76583333,186.683,99.88372093,147,76.78571428571429,13
176,5016041,2,7,18,1,4322171,87,126,4.652173913,54,0.428571429,1,12.17916667,210.574,90.42592593,39,62.06896551724138,33
177,5012278,3,7,11,53,5409135,76,171,4.272727273,49,0.286549708,1,16.15611111,244.822,108.61224490000001,95,64.47368421052632,27
178,5012205,2,7,15,49,3253320,54,178,4.473684211,32,0.179775281,1,9.685833333,146.0,100.25,124,59.25925925925925,22
179,5011402,5,7,7,37,4759851,38,147,4.4,16,0.10884353699999999,1,3.652777778,69.866,99.9375,109,42.10526315789473,22
180,5011029,5,7,9,39,4950226,94,189,4.125,70,0.37037037,1,15.93111111,298.815,98.18571429,95,74.46808510638297,24
181,5004204,2,7,20,58,4898813,51,64,4.6,26,0.40625,1,5.9344444439999995,128.92,127.0384615,13,50.98039215686274,25
182,4984455,2,7,22,38,4851225,90,147,4.36,62,0.421768707,1,16.72194444,327.88,112.983871,57,68.88888888888889,28
183,4980869,1,7,19,19,4468949,79,247,4.533333333,56,0.226720648,1,18.10222222,321.418,120.1071429,168,70.88607594936708,23
184,4980010,1,7,17,4,4620917,62,101,4.3125,32,0.31683168300000003,1,4.013611111,89.762,77.8125,39,51.61290322580645,30
185,4971773,3,7,15,57,4852044,107,229,4.2647058819999994,71,0.310043668,1,16.82222222,286.878,97.77464789,122,66.35514018691589,36
186,4970994,6,7,12,33,4046508,88,236,4.3142857139999995,70,0.296610169,1,14.79777778,256.987,90.27142857,148,79.54545454545455,18
187,4970854,7,7,13,34,3243210,65,97,4.285714286,42,0.432989691,1,8.836944444,164.06,90.38095238,32,64.61538461538461,23
188,4970770,1,7,20,15,4870059,70,202,4.076923077,41,0.202970297,1,21.41805556,223.69099999999997,117.5609756,132,58.57142857142858,29
189,4965310,1,7,11,2,3958977,88,196,4.583333333,54,0.275510204,1,12.91777778,245.28599999999997,106.31481480000001,108,61.36363636363637,34
190,4964811,1,7,13,58,4768847,47,93,4.5,34,0.36559139799999996,1,8.022777778,148.881,100.17647059999999,46,72.3404255319149,13
191,4950821,2,7,15,0,5402404,101,139,4.166666667,65,0.467625899,1,19.80888889,338.404,110.4769231,38,64.35643564356435,36
192,4934638,2,7,19,55,5339181,63,125,4.35,48,0.384,1,11.60388889,214.638,100.22916670000001,62,76.19047619047619,15
193,4933357,6,7,14,45,3043003,31,59,4.466666667,28,0.474576271,1,6.935277778,145.734,110.67857140000001,28,90.32258064516128,3
