,driver_id,day_of_week,Hour,Minute,passenger_id,total_assigned_request,avg_rating,completed_rides,total_canceled_ride,ACR,status,ride_duration_hour,total_distance_covered_km,undiscounted_fare
186,3634447,5,21,36,5428208,69,4.655172414,47,22,0.68,COMPLETED,10.74777778,221.107,161
187,3635024,2,9,21,3984869,13,4,11,2,0.85,COMPLETED,2.800277778,49.349,125
188,3635071,5,18,1,4804323,20,4.875,18,2,0.9,COMPLETED,5.376944444,93.455,87
189,3636342,3,14,0,4045382,43,4.166666667,24,19,0.56,COMPLETED,8.258333333,122.088,93
190,3637101,1,10,32,4215439,24,4,10,14,0.42,COMPLETED,1.474444444,32.076,59
191,3637339,4,9,56,4371221,62,4.48,43,19,0.69,COMPLETED,9.032222222,210.492,154
192,3638440,2,11,27,5206317,9,4,4,5,0.44,COMPLETED,0.735277778,12.657,147
193,3638664,3,21,1,4720448,48,4.444444444,36,12,0.75,COMPLETED,11.36583333,214.217,138
194,3644399,1,18,58,4319383,3,,0,3,0,CANCELED,,,
195,3645038,1,19,1,4456862,12,5,4,8,0.33,COMPLETED,0.989444444,15.511,77
196,3646787,5,15,22,3993614,13,4.5,10,3,0.77,COMPLETED,3.430555556,59.587,163
197,3646812,7,14,54,4513832,54,4.692307692,37,17,0.69,COMPLETED,7.420555556,138.976,187
198,3648810,2,19,3,5326211,10,4.5,5,5,0.5,COMPLETED,1.290555556,26.508,108
199,3664897,2,15,33,4684415,1,,0,1,0,CANCELED,,,
200,3668460,1,21,27,5395780,15,4.75,10,5,0.67,COMPLETED,2.400555556,50.232,126
201,3670054,2,20,7,3523686,2,3,1,1,0.5,COMPLETED,0.23,3.988,101
202,3670561,2,18,20,4862931,15,4.666666667,9,6,0.6,COMPLETED,2.746388889,36.562,139
203,3678744,2,17,0,3640539,61,4.4375,46,15,0.75,COMPLETED,15.49305556,243.541,65
204,3681569,1,15,29,4084269,36,4.571428571,26,10,0.72,COMPLETED,7.132777778,118.868,71
205,3681964,4,10,31,4703209,14,4.166666667,12,2,0.86,COMPLETED,3.531388889,66.239,53
206,3683496,1,12,19,3489192,11,4,7,4,0.64,COMPLETED,2.474722222,39.938,158
207,3688501,2,7,21,5050224,8,,1,7,0.13,COMPLETED,0.318055556,8.893,163
208,3688728,1,11,50,3491120,2,4,1,1,0.5,COMPLETED,0.458055556,6.289,124
209,3688957,3,13,47,4944026,18,4,8,10,0.44,COMPLETED,2.663888889,44.421,127
210,3694253,5,15,42,4810098,6,1,2,4,0.33,COMPLETED,0.421666667,8.384,110
211,3695674,3,14,45,5283929,186,4.578947368,97,89,0.52,COMPLETED,29.10166667,476.045,66
212,3697004,1,11,49,4851715,11,4.333333333,5,6,0.45,COMPLETED,1.640555556,31.172,120
213,3698085,5,6,21,4459348,9,3,5,4,0.56,COMPLETED,0.591944444,19.717,147
214,3698459,3,15,29,4635106,104,4.075,81,23,0.78,COMPLETED,21.75055556,386.118,51
215,3700536,1,16,53,5101617,17,4,14,3,0.82,COMPLETED,4.568888889,67.646,111
216,3707646,3,6,47,4673324,104,4.291666667,90,14,0.87,COMPLETED,25.91916667,429.266,150
217,3708560,1,7,15,4677850,7,5,1,6,0.14,COMPLETED,0.246111111,5.635,115
218,3709813,2,22,38,5291399,42,4.3,30,12,0.71,COMPLETED,7.361388889,131.018,95
219,3717125,2,6,39,4978650,24,4.285714286,13,11,0.54,COMPLETED,2.666944444,38.577,66
220,3717245,4,10,52,3577566,91,4.59375,69,22,0.76,COMPLETED,18.35777778,282.591,123
221,3718226,1,21,44,4113902,44,4.368421053,36,8,0.82,COMPLETED,10.49277778,179.275,60
222,3718344,2,21,54,4830383,47,4.6875,30,17,0.64,COMPLETED,6.169722222,137.415,71
223,3733395,2,16,0,5128726,49,4.166666667,36,13,0.73,COMPLETED,9.039444444,163.061,125
224,3735534,4,16,21,5024330,20,4.333333333,15,5,0.75,COMPLETED,4.156944444,52.037,53
225,3736211,6,5,57,5373843,44,4.363636364,27,17,0.61,COMPLETED,7.549166667,123.009,224
226,3738000,3,15,45,3776070,19,3.833333333,10,9,0.53,COMPLETED,1.895833333,52.826,81
227,3744385,2,11,53,4254336,8,3,3,5,0.38,COMPLETED,0.953333333,16.998,167
228,3751543,5,19,38,5384557,20,4.714285714,11,9,0.55,COMPLETED,3.462222222,64.208,138
229,3751566,1,8,43,3941712,10,4.666666667,7,3,0.7,COMPLETED,1.662777778,26.344,105
230,3751577,3,10,56,5047747,49,4.307692308,36,13,0.73,COMPLETED,10.16138889,187.847,58
231,3754089,2,18,3,4870648,1,,0,1,0,CANCELED,,,
232,3754179,5,7,38,4826892,43,4.5,10,33,0.23,COMPLETED,2.276666667,44.769,66
233,3754231,2,13,4,3968973,17,4.333333333,9,8,0.53,COMPLETED,3.758333333,50.42,114
234,3754931,7,15,34,5244549,6,5,4,2,0.67,COMPLETED,0.9975,17.367,68
235,3757071,3,11,21,4556080,2,3,1,1,0.5,CANCELED,0.122777778,4.077,
236,3758181,3,16,48,3864806,28,4.285714286,16,12,0.57,COMPLETED,4.969166667,74.191,151
237,3762058,1,10,24,4519577,105,4.25,84,21,0.8,COMPLETED,23.09305556,425.131,122
238,3762069,6,8,32,3047532,83,4.178571429,58,25,0.7,COMPLETED,17.66388889,324.213,159
239,3762149,2,12,36,4685202,58,4.388888889,33,25,0.57,COMPLETED,11.14222222,88.988,59
240,3765017,3,6,43,3640436,2,,0,2,0,CANCELED,,,
