,ride_id,driver_id,total_assigned
920,78QR07,4486278,60
921,78QMNJ,4486294,32
922,78ARP0,4486334,169
923,78P774,4486426,146
924,78N6Q6,4486635,1
925,78C7SS,4486760,110
926,78CSMQ,4487064,168
927,78G8KC,4487174,50
928,78THSO,4487711,41
929,78P9D8,4489028,148
930,78B7JN,4489917,54
931,7991PG,4491926,70
932,78BSI6,4492069,93
933,78R7DD,4492521,107
934,78G5PH,4493103,52
935,78BHJH,4493151,2
936,78QBL9,4493282,4
937,78D7FM,4493375,79
938,78CGT9,4493566,52
939,7915D9,4494042,74
940,78FKEK,4495750,10
941,7969HF,4498092,6
942,792IJN,4498157,67
943,78MI7O,4498291,60
944,7943F7,4498319,26
945,796BS4,4498853,123
946,78B269,4499526,24
947,78D4Q7,4500882,13
948,79533L,4505534,4
949,798GPB,4506203,1
950,7943F7,4510026,58
951,78CD2T,4510388,70
952,78DITA,4510572,72
953,78BAB2,4511279,6
954,78S9IC,4511527,15
955,794RL5,4511563,2
956,78QMCC,4511571,14
957,797517,4511577,13
958,78MF4B,4511811,3
959,7951JH,4511903,41
960,78TEPA,4511960,95
961,78FDLM,4511963,1
962,7953QQ,4512381,1
963,7904PO,4514439,172
964,792JTQ,4516025,65
965,78F08O,4516334,60
966,7912AJ,4516926,222
967,78IG2F,4517057,167
968,798A9B,4517432,19
969,78PG7J,4517800,239
970,78L5SA,4518689,55
971,78D06D,4519517,68
972,78NRFN,4519589,22
973,790E1H,4520568,5
974,78QDS5,4523584,10
975,78B7TC,4524411,102
976,78SJF8,4525054,76
977,78CQS8,4525331,128
978,78H61M,4529500,4
979,78SASE,4529583,37
980,795006,4529926,52
981,798QHO,4530279,13
982,7984IK,4531224,20
983,78H7D8,4531818,69
984,78CSOG,4532374,82
985,78BEN1,4534594,17
986,7915DT,4535225,5
987,78F4I7,4535640,1
988,78ARAL,4536703,18
989,78TSRC,4536733,62
990,7981D4,4536759,8
991,796DS3,4536821,141
992,797745,4537035,86
993,78INT1,4537393,7
994,78P23O,4538988,133
995,78K5C1,4540166,123
996,78NTF2,4540397,4
997,78L5SA,4540772,113
998,78H7D8,4541189,36
999,78R9EP,4541499,138
1000,78DE21,4541735,9
1001,78FL72,4541864,120
1002,78RGFI,4541888,7
1003,78ED2C,4541994,3
1004,78GN1D,4546226,47
1005,78QJOA,4548795,18
1006,78HCRS,4551598,2
1007,78NP48,4552096,182
1008,78OSQF,4552639,246
1009,78B5FR,4553073,31
1010,78QRT4,4553536,31
1011,78PC6E,4553688,15
1012,796SJF,4553888,92
1013,78TSQS,4554267,29
1014,790G1T,4554374,118
1015,78GS6A,4555145,175
1016,78PD10,4555172,5
